Model,Class,Accuracy,Precision,Recall,F1-Score
Naive Bayes,Overall,0.46200803212851405,0.4615364386349,0.46200803212851405,0.4251352415682906
KNN,Overall,0.8255421686746988,0.8325533656341882,0.8255421686746989,0.7917572633025056
Random Forest,Overall,0.9005622489959839,0.9002476138591374,0.9005622489959839,0.8963426026667595
Stacking,Overall,0.9267469879518072,0.9267872000973231,0.9267469879518073,0.9267379550732411
